pkg1,pkg2,n
chipPCR,Rmisc,1
chipPCR,tuneR,1
CHNOSZ,cmrutils,1
CHNOSZ,compositions,1
CHNOSZ,crp.CSFP,1
CHNOSZ,CVST,1
CHNOSZ,cvxbiclustr,1
CHNOSZ,dendroextras,1
CHNOSZ,discreteRV,1
CHNOSZ,dplyr,1
CHNOSZ,dynamicGraph,1
CHNOSZ,enaR,1
CHNOSZ,EngrExpt,1
CHNOSZ,entropy,1
CHNOSZ,equate,1
CHNOSZ,equateIRT,1
CHNOSZ,erp.easy,1
CHNOSZ,EvCombR,1
CHNOSZ,expm,1
CHNOSZ,fingerprint,1
CHNOSZ,fitDRC,1
CHNOSZ,flexsurv,1
CHNOSZ,FNN,1
CHNOSZ,forecast,1
CHNOSZ,gamlss,1
CHNOSZ,gamlss.data,1
CHNOSZ,GCPM,1
CHNOSZ,GeneCycle,1
CHNOSZ,geophys,1
CHNOSZ,GPArotation,1
CHNOSZ,grnn,1
CHNOSZ,hbsae,1
CHNOSZ,highfrequency,1
CHNOSZ,hoardeR,1
CHNOSZ,hot.deck,1
CHNOSZ,HSAUR,1
CHNOSZ,HSAUR2,1
CHNOSZ,HSAUR3,1
CHNOSZ,igraph,1
CHNOSZ,ineq,1
CHNOSZ,infotheo,1
CHNOSZ,IRISSeismic,1
CHNOSZ,kappalab,1
CHNOSZ,kernlab,1
CHNOSZ,lambda.tools,1
CHNOSZ,LotkasLaw,1
CHNOSZ,lsa,1
CHNOSZ,lubridate,1
CHNOSZ,MALDIquant,1
CHNOSZ,mlegp,1
CHNOSZ,mmeln,1
CHNOSZ,Morpho,1
CHNOSZ,msap,1
CHNOSZ,neuroim,1
CHNOSZ,nodiv,1
CHNOSZ,nsRFA,1
CHNOSZ,optiscale,1
CHNOSZ,optpart,1
CHNOSZ,ordinal,1
CHNOSZ,palaeoSig,1
CHNOSZ,peplib,1
CHNOSZ,performanceEstimation,1
CHNOSZ,pez,1
CHNOSZ,phangorn,1
CHNOSZ,phonTools,1
CHNOSZ,phyclust,1
CHNOSZ,phyext2,1
CHNOSZ,plgp,1
CHNOSZ,pnn,1
CHNOSZ,PogromcyDanych,1
CHNOSZ,PopGenKit,1
CHNOSZ,portfolio,1
CHNOSZ,PSAboot,1
CHNOSZ,qdap,1
CHNOSZ,qtl,1
CHNOSZ,quanteda,1
CHNOSZ,rcdk,1
CHNOSZ,reldist,1
CHNOSZ,rfishbase,1
CHNOSZ,RFLPtools,1
CHNOSZ,rio,1
CHNOSZ,rowr,1
CHNOSZ,Rpdb,1
CHNOSZ,scidb,1
CHNOSZ,seacarb,1
CHNOSZ,secr,1
CHNOSZ,seqRFLP,1
CHNOSZ,soc.ca,1
CHNOSZ,StMoMo,1
CHNOSZ,strataG,1
CHNOSZ,SVMMatch,1
CHNOSZ,synlik,1
CHNOSZ,TaoTeProgramming,1
CHNOSZ,tcR,1
CHNOSZ,tfer,1
CHNOSZ,vcd,1
CHNOSZ,vegdata,1
CHNOSZ,VLMC,1
CHNOSZ,waveslim,1
CHNOSZ,wavethresh,1
CHNOSZ,xgboost,1
CHNOSZ,Xmisc,1
choplump,flux,1
choplump,perm,1
chron,dplR,1
chron,foreach,1
chron,geoknife,1
chron,its,1
chron,MTurkR,1
chron,paleoMAS,1
chron,ProgGUIinR,1
chron,simecol,1
chron,SpaDES,1
chron,tseries,1
chron,wq,1
chron,x12,1
CHsharp,distrMod,1
CHsharp,elliptic,1
CHsharp,ETAS,1
CHsharp,GenABEL,1
CHsharp,giRaph,1
CHsharp,hydroGOF,1
CHsharp,mixtools,1
CHsharp,popbio,1
CHsharp,rknn,1
CHsharp,spatstat,1
CHsharp,vegetarian,1
CIDnetworks,DynTxRegime,1
CIDnetworks,rgexf,1
CIDnetworks,stremo,1
CINOEDV,rfordummies,1
CircNNTSR,grDevices,1
CircOutlier,circular,1
CircOutlier,gcookbook,1
CircOutlier,ggmap,1
CircStats,degenes,1
CircStats,kernlab,1
CircStats,Newdistns,1
CircStats,psych,1
CircStats,Rlab,1
CircStats,sads,1
CircStats,stabledist,1
CircStats,yuima,1
circular,clifro,1
circular,degenes,1
circular,eba,1
circular,elliptic,1
circular,fdth,1
circular,ftsa,1
circular,gcookbook,1
circular,ggmap,1
circular,Newdistns,1
circular,OOmisc,1
circular,sads,1
circular,sn,1
circular,sphet,1
circular,stabledist,1
circular,VaRES,1
circular,yuima,1
ClamR,PEIP,1
ClamR,RcmdrPlugin.EZR,1
ClamR,RPMG,1
class,igraph,1
class,nabor,1
class,onion,1
class,qdap,1
class,qtl,1
class,reshape,1
classifly,classify,1
classifly,depmix,1
classifly,DiscriMiner,1
classifly,evdbayes,1
classifly,geneSignatureFinder,1
classifly,HMM,1
classifly,llama,1
classifly,LPM,1
classifly,modeltools,1
classifly,planar,1
classifly,stylo,1
classifly,tileHMM,1
classifly,TLBC,1
classifly,TRAMPR,1
classify,DiscriMiner,1
classify,freestats,1
classify,geneSignatureFinder,1
classify,llama,1
classify,mixture,1
classify,Morpho,1
classify,peplib,1
classify,planar,1
classify,stylo,1
classify,TLBC,1
classify,TRAMPR,1
clere,evd,1
clere,igraph,1
clere,modeltools,1
ClimClass,copBasic,1
ClimClass,discreteRV,1
ClimClass,dMod,1
ClimClass,elliptic,1
ClimClass,lifecontingencies,1
ClimClass,MultiCNVDetect,1
ClimClass,partitions,1
ClimClass,rpartitions,1
ClimClass,Rpdb,1
ClimClass,sand,1
ClimClass,SPEI,1
climtrends,DescTools,1
climtrends,matlab,1
climtrends,pracma,1
climwin,nontarget,1
climwin,phyclust,1
clinfun,PRROC,1
clinfun,randomUniformForest,1
clinfun,ROSE,1
clinsig,plotrix,1
clisymbols,symbols,1
CLME,elliptic,1
CLME,nullabor,1
CLME,shapes,1
clttools,ICEbox,1
clttools,mvoutlier,1
clttools,randomizeR,1
clttools,Sabermetrics,1
clttools,TeachingDemos,1
clue,FunCluster,1
clues,comato,1
clues,gmum.r,1
clues,ksrlive,1
clues,tnam,1
cluster,cowsay,1
cluster,maps,1
clusterCrit,mets,1
clusterCrit,raters,1
clustergas,EMMIXskew,1
clustergas,fossil,1
clustergas,HelpersMG,1
clustergas,psych,1
clustergas,varComp,1
clusterGenomics,fishmethods,1
clusterGenomics,iCluster,1
clusterGenomics,lga,1
clusterGenomics,UsingR,1
clusterPower,ebGenotyping,1
clusterPower,faraway,1
clusterPower,FatTailsR,1
clusterPower,gap,1
clusterPower,gtools,1
clusterPower,hisemi,1
clusterPower,hSDM,1
clusterPower,InterSIM,1
clusterPower,isdals,1
clusterPower,locfit,1
clusterPower,logitnorm,1
clusterPower,mosaic,1
clusterPower,ocomposition,1
clusterPower,OOmisc,1
clusterPower,phcfM,1
clusterPower,pracma,1
clusterPower,psych,1
clusterPower,rpf,1
clusterPower,secr,1
clusterPower,SparseFactorAnalysis,1
clusterPower,SpatialExtremes,1
clusterPower,VGAM,1
ClustMMDD,emulator,1
ClustMMDD,lessR,1
ClustMMDD,LINselect,1
ClustMMDD,mme,1
ClustMMDD,pdR,1
ClustMMDD,simsem,1
ClustOfVar,clValid,1
ClustOfVar,dse,1
ClustOfVar,hdi,1
ClustOfVar,interferenceCI,1
ClustOfVar,lmerTest,1
ClustOfVar,mosaic,1
ClustOfVar,phaseR,1
ClustOfVar,PopED,1
ClustOfVar,pracma,1
ClustOfVar,quadrupen,1
ClustOfVar,ramify,1
ClustOfVar,vars,1
clustvarsel,GA,1
clv,clValid,1
clv,GWmodel,1
clv,momr,1
clv,NMF,1
clv,randomUniformForest,1
clv,SDMTools,1
clValid,dse,1
clValid,evd,1
clValid,hdi,1
clValid,igraph,1
clValid,mlr,1
clValid,modeltools,1
clValid,momr,1
clValid,NMF,1
clValid,phaseR,1
clValid,quadrupen,1
clValid,TED,1
clValid,vars,1
cmprsk,lcmm,1
cmprsk,ranger,1
cmrutils,dendroextras,1
cmrutils,dplyr,1
cmrutils,hyperSpec,1
cmrutils,intervals,1
cmrutils,IRISSeismic,1
cmrutils,lambda.tools,1
cmrutils,modeltools,1
cmrutils,neuroim,1
cmrutils,optpart,1
cmrutils,ordinal,1
cmrutils,phonTools,1
cmrutils,plyr,1
cmrutils,qmrparser,1
cmrutils,rPref,1
cmrutils,rstackdeque,1
cmrutils,scidb,1
cmrutils,synlik,1
cmrutils,xgboost,1
cmvnorm,crch,1
cmvnorm,MCMCglmm,1
cna,editrules,1
cna,pls,1
CNOGpro,locfit,1
CNOGpro,miscTools,1
CNOGpro,RMark,1
CNVassoc,drc,1
CNVassoc,lcmm,1
coala,plspm,1
cocorresp,crossval,1
cocorresp,eventInterval,1
cocorresp,manifestoR,1
cocorresp,mdatools,1
cocorresp,mlr,1
cocorresp,mmand,1
cocorresp,oce,1
cocorresp,plotrix,1
cocorresp,pls,1
cocorresp,plspm,1
cocorresp,psych,1
cocorresp,quadrupen,1
cocorresp,rioja,1
cocorresp,scales,1
cocorresp,sdmvspecies,1
cocorresp,sensR,1
cocorresp,tourr,1
cocorresp,tsbridge,1
cocron,ltm,1
coda,genridge,1
coda,jagsUI,1
coda,kernlab,1
coda,NMF,1
coda,PEIP,1
coda,R2jags,1
coda,rstan,1
coda,spatialnbda,1
coda,splancs,1
coda,spThin,1
coda,sybil,1
coda,VGAM,1
codadiags,CVTuningCov,1
codadiags,kyotil,1
codadiags,quantspec,1
codadiags,VGAM,1
codetools,globals,1
codyn,PortfolioAnalytics,1
codyn,spaa,1
codyn,vegetarian,1
coefficientalpha,coin,1
coefficientalpha,crp.CSFP,1
coefficientalpha,depmix,1
coefficientalpha,detect,1
coefficientalpha,DMwR,1
coefficientalpha,EMMIXskew,1
coefficientalpha,epiDisplay,1
coefficientalpha,equate,1
coefficientalpha,fossil,1
coefficientalpha,gvcm.cat,1
coefficientalpha,itsadug,1
coefficientalpha,kernlab,1
coefficientalpha,lava,1
coefficientalpha,MRSP,1
coefficientalpha,ouch,1
coefficientalpha,plspm,1
coefficientalpha,popsom,1
coefficientalpha,poweRlaw,1
coefficientalpha,psych,1
coefficientalpha,psychometric,1
coefficientalpha,rebus,1
coefficientalpha,resample,1
coefficientalpha,RVAideMemoire,1
coefficientalpha,scales,1
coefficientalpha,SciencesPo,1
coefficientalpha,StMoMo,1
coefficientalpha,vegetarian,1
coefplot,MRIaggr,1
coefplot,optiRum,1
coefplot,PASWR2,1
coefplot,phonTools,1
coefplot,pls,1
coefplot,Rmisc,1
coefplot,SciencesPo,1
coefplot,texreg,1
coenocliner,distr,1
coenocliner,futile.matrix,1
coenocliner,hglm,1
coenocliner,intervals,1
coenocliner,Matrix,1
coenocliner,mboost,1
coenocliner,npmlreg,1
coenocliner,OPDOE,1
coenocliner,reshape,1
coenocliner,spaMM,1
coenocliner,tidyr,1
coenocliner,trueskill,1
coenocliner,wccsom,1
coexist,DetSel,1
coexist,HapEstXXR,1
coexist,phaseR,1
coexist,rjags,1
coin,crp.CSFP,1
coin,dafs,1
coin,DAKS,1
coin,Davies,1
coin,distrMod,1
coin,epiDisplay,1
coin,ifultools,1
coin,InferenceSMR,1
coin,itsadug,1
coin,kernlab,1
coin,kmconfband,1
coin,laeken,1
coin,LambertW,1
coin,MSQC,1
coin,MTurkR,1
coin,plspm,1
coin,psych,1
coin,psychometric,1
coin,randomUniformForest,1
coin,rebus,1
coin,reportRx,1
coin,RMAWGEN,1
coin,ROptEstOld,1
coin,scales,1
coin,sna,1
coin,soc.ca,1
coin,SpatialExtremes,1
coin,testthat,1
coin,timesboot,1
coin,wavethresh,1
coin,Zelig,1
CoinMinD,ggm,1
cold,surface,1
cold,ycinterextra,1
CollocInfer,mosaic,1
CollocInfer,PANICr,1
CollocInfer,ramify,1
coloc,corregp,1
coloc,elliptic,1
coloc,FLR,1
coloc,geiger,1
coloc,ggmcmc,1
coloc,labstatR,1
coloc,ldr,1
coloc,meta,1
coloc,mme,1
coloc,PK,1
coloc,pracma,1
coloc,precintcon,1
coloc,rknn,1
coloc,RMediation,1
coloc,robustlmm,1
coloc,ryouready,1
coloc,seacarb,1
coloc,strataG,1
coloc,TIMP,1
coloredICA,degenes,1
coloredICA,LPCM,1
coloredICA,numDeriv,1
coloredICA,oce,1
coloredICA,pracma,1
coloredICA,Rfit,1
coloredICA,SPEI,1
coloredICA,turboEM,1
ColorPalette,munsell,1
ColorPalette,phylotools,1
ColorPalette,rphast,1
ColorPalette,spgs,1
colorscience,simPop,1
colorspace,psyphy,1
colorspace,raster,1
colorspace,ripa,1
colortools,raster,1
colortools,rqPen,1
colortools,spatstat,1
colortools,tis,1
colortools,tuneR,1
colortools,vcrpart,1
comato,gmum.r,1
comato,ksrlive,1
comato,purrr,1
comato,tframe,1
comato,tnam,1
COMBIA,parallelize.dynamic,1
combinat,irtProb,1
combinat,kyotil,1
combinat,mc2d,1
combinat,multinomRob,1
combinat,utils,1
CombMSC,compare,1
CombMSC,DoE.wrapper,1
CombMSC,evd,1
CombMSC,gaselect,1
CombMSC,graphicsQC,1
CombMSC,iC10,1
CombMSC,igraph,1
CombMSC,klausuR,1
CombMSC,ks,1
CombMSC,lava,1
CombMSC,loo,1
CombMSC,MDR,1
CombMSC,mixlm,1
CombMSC,MPV,1
CombMSC,multic,1
CombMSC,NMF,1
CombMSC,onemap,1
CombMSC,optpart,1
CombMSC,packHV,1
CombMSC,qpcR,1
CombMSC,randomizeR,1
CombMSC,Rfit,1
CombMSC,rknn,1
CombMSC,robustlmm,1
CombMSC,RSA,1
CombMSC,solaR,1
CombMSC,synthpop,1
CombMSC,tableplot,1
CombMSC,testthat,1
CombMSC,timeROC,1
CombMSC,trajectories,1
CombMSC,validate,1
CombMSC,VLF,1
commandr,elliptic,1
commandr,gnm,1
commandr,Mediana,1
commandr,miscFuncs,1
commandr,modeltools,1
commandr,quickpsy,1
commandr,randomizeR,1
commandr,stabs,1
commandr,SUE,1
commandr,umx,1
commandr,urltools,1
commandr,Zelig,1
CommunityCorrelogram,cwhmisc,1
CommunityCorrelogram,daewr,1
CommunityCorrelogram,fSRM,1
CommunityCorrelogram,magrittr,1
CommunityCorrelogram,matlab,1
CommunityCorrelogram,numbers,1
CommunityCorrelogram,pdR,1
CommunityCorrelogram,pracma,1
CommunityCorrelogram,psd,1
CommunityCorrelogram,RVAideMemoire,1
CommunityCorrelogram,scuba,1
Comp2ROC,mosaic,1
compactr,evt0,1
compactr,mosaic,1
compactr,soilprofile,1
compare,DoE.wrapper,1
compare,graphicsQC,1
compare,iC10,1
compare,igraph,1
compare,klausuR,1
compare,ks,1
compare,lava,1
compare,loo,1
compare,MDR,1
compare,NMF,1
compare,onemap,1
compare,optpart,1
compare,packHV,1
compare,randomizeR,1
compare,robustlmm,1
compare,RSA,1
compare,solaR,1
compare,synthpop,1
compare,tableplot,1
compare,testthat,1
compare,timeROC,1
compare,trajectories,1
compare,validate,1
compare,VLF,1
compareGroups,fptdApprox,1
compareGroups,fsia,1
compareGroups,mefa,1
compareGroups,mtk,1
compareGroups,reportr,1
compareGroups,rugarch,1
compareGroups,sdcMicro,1
compareGroups,shotGroups,1
CompGLM,compositions,1
CompGLM,futile.matrix,1
CompGLM,SciViews,1
compiler,R.oo,1
compiler,TMB,1
ComplexAnalysis,daewr,1
ComplexAnalysis,elliptic,1
ComplexAnalysis,sm,1
COMPoissonReg,corpora,1
COMPoissonReg,DPw,1
COMPoissonReg,interferenceCI,1
COMPoissonReg,learnstats,1
COMPoissonReg,pcadapt,1
COMPoissonReg,qtlDesign,1
COMPoissonReg,robeth,1
COMPoissonReg,stremo,1
COMPoissonReg,textir,1
COMPoissonReg,timereg,1
COMPoissonReg,Traitspace,1
COMPoissonReg,VGAM,1
compositions,corTools,1
compositions,DiceEval,1
compositions,editrules,1
compositions,EEM,1
compositions,enaR,1
compositions,expm,1
compositions,fingerprint,1
compositions,fitDRC,1
compositions,futile.matrix,1
compositions,glmnet,1
compositions,hbsae,1
compositions,hypergeo,1
compositions,igraph,1
compositions,LICORS,1
compositions,llama,1
compositions,LSAfun,1
compositions,MAc,1
compositions,MAd,1
compositions,magic,1
compositions,maptpx,1
compositions,metRology,1
compositions,msir,1
compositions,multisensi,1
compositions,OpenRepGrid,1
compositions,parmigene,1
compositions,parviol,1
compositions,pec,1
compositions,PerformanceAnalytics,1
compositions,PHeval,1
compositions,phonTools,1
compositions,plot3D,1
compositions,plsdof,1
compositions,plspm,1
compositions,PresenceAbsence,1
compositions,proxy,1
compositions,PSAboot,1
compositions,psych,1
compositions,rapportools,1
compositions,RcmdrPlugin.KMggplot2,1
compositions,rgp,1
compositions,ripa,1
compositions,SDMTools,1
compositions,seqinr,1
compositions,Sim.DiffProc,1
compositions,SMIR,1
compositions,smoof,1
compositions,soc.ca,1
compositions,som,1
compositions,sparseLDA,1
compositions,SpatialEpi,1
compositions,SVMMaj,1
compositions,SVMMatch,1
compositions,swfscMisc,1
compositions,symbols,1
compositions,tawny,1
compositions,TExPosition,1
compositions,vcd,1
CompRandFld,queueing,1
compute.es,dMod,1
compute.es,epiDisplay,1
compute.es,FrF2,1
compute.es,qlcMatrix,1
compute.es,raster,1
compute.es,TIMP,1
Conake,kerdiest,1
cond,EngrExpt,1
cond,gamlss.data,1
cond,hoa,1
cond,JM,1
cond,JMbayes,1
cond,pracma,1
condMVNorm,MCMCglmm,1
coneproj,DDD,1
coneproj,ineq,1
coneproj,kSamples,1
coneproj,pracma,1
coneproj,signal,1
coneproj,StatDA,1
coneproj,survC1,1
conf.design,cwhmisc,1
conf.design,DMwR,1
conf.design,elliptic,1
conf.design,FLR,1
conf.design,matlab,1
conf.design,matrixcalc,1
conf.design,plyr,1
conf.design,pnf,1
conf.design,pracma,1
conf.design,QCA,1
conf.design,RcmdrPlugin.KMggplot2,1
conf.design,RConics,1
conf.design,rminer,1
conf.design,schoolmath,1
conf.design,secr,1
conf.design,statar,1
conf.design,UsingR,1
confidence,fbroc,1
confreq,GWG,1
confreq,lessR,1
confreq,pairwise,1
ConnMatTools,rARPACK,1
ConsRank,gmailr,1
ConsRank,hyperSpec,1
ConsRank,memisc,1
ConsRank,phylobase,1
ConsRank,qtl,1
ConsRank,raster,1
ConsRank,tigerstats,1
contrast,ripa,1
contrast,sanon,1
ConvergenceConcepts,depmix,1
ConvergenceConcepts,distrMod,1
ConvergenceConcepts,ezsim,1
ConvergenceConcepts,PST,1
ConvergenceConcepts,RGENERATE,1
ConvergenceConcepts,seriation,1
ConvergenceConcepts,simFrame,1
ConvergenceConcepts,simsem,1
ConvergenceConcepts,stepp,1
convevol,SensoMineR,1
convevol,shape,1
convevol,StatDA,1
convoSPAT,DPw,1
convoSPAT,Geneland,1
convoSPAT,HSROC,1
convoSPAT,jackknifeKME,1
convoSPAT,MDM,1
convoSPAT,mirt,1
convoSPAT,mme,1
convoSPAT,sortinghat,1
cooccur,optmatch,1
cooccur,pairwise,1
cooccur,sets,1
cooccur,sgeostat,1
COPASutils,reports,1
copBasic,Davies,1
copBasic,discreteRV,1
copBasic,dMod,1
copBasic,elliptic,1
copBasic,GCPM,1
copBasic,gogarch,1
copBasic,LambertW,1
copBasic,MultiCNVDetect,1
copBasic,multivator,1
copBasic,partitions,1
copBasic,queueing,1
copBasic,rpartitions,1
copBasic,sand,1
copCAR,ngspatial,1
cord,RadOnc,1
CORElearn,entropy,1
CORElearn,EnvStats,1
CORElearn,FisHiCal,1
CORElearn,infotheo,1
CORElearn,investr,1
CORElearn,QCA,1
CORElearn,rms,1
CORElearn,survey,1
CORElearn,vegan,1
CORElearn,VGAM,1
CORElearn,zooimage,1
corpcor,gmodels,1
corpcor,matrixcalc,1
corpcor,tawny,1
corpora,mosaic,1
corpora,psych,1
corpora,robeth,1
corpora,TANOVA,1
corpora,VGAM,1
CorrBin,EMD,1
CorrBin,pastecs,1
CorrBin,signal,1
corregp,cycleRtools,1
corregp,distillery,1
corregp,epiDisplay,1
corregp,ggmcmc,1
corregp,gmodels,1
corregp,matlab,1
corregp,meta,1
corregp,mme,1
corregp,PK,1
corregp,PopED,1
corregp,precintcon,1
corregp,pROC,1
corregp,RMediation,1
corregp,SciencesPo,1
corregp,survMisc,1
correlate,lsr,1
correlate,mRMRe,1
Correlplot,dmt,1
Correlplot,ecodist,1
Correlplot,labdsv,1
Correlplot,spatial,1
corrgram,EMMIXskew,1
corrgram,gpairs,1
corrgram,latticeExtra,1
corrplot,pls,1
corrplot,R2BayesX,1
corrplot,shape,1
corTools,peplib,1
corTools,proxy,1
corTools,RcmdrPlugin.KMggplot2,1
corTools,scidb,1
corTools,stats,1
cosmosR,EngrExpt,1
cosmosR,FFD,1
cosmosR,ggdendro,1
cosmosR,gmailr,1
cosmosR,htmltools,1
cosmosR,lessR,1
cosmosR,mefa,1
cosmosR,R2HTML,1
cosmosR,rAmCharts,1
cosmosR,rapportools,1
cosmosR,SciencesPo,1
cosmosR,shiny,1
cosmosR,ThresholdROC,1
costat,phangorn,1
cotrend,fmsb,1
countrycode,psData,1
covr,discretization,1
covr,verification,1
covreg,MCMCpack,1
covreg,monomvn,1
covreg,nicheROVER,1
covreg,phcfM,1
covreg,sbgcop,1
covRobust,robustX,1
cowplot,ggmap,1
cowplot,nodiv,1
cowplot,sjPlot,1
CoxBoost,GAMBoost,1
coxinterval,extRemes,1
coxinterval,lessR,1
coxinterval,neuroim,1
coxinterval,Ryacas,1
coxme,mirt,1
coxphf,coxsei,1
coxphw,gconcord,1
coxphw,mcprofile,1
coxphw,mirt,1
coxphw,semTools,1
coxsei,SurvCorr,1
coxsei,survival,1
CP,devtools,1
CP,ezsim,1
CP,FWDselect,1
CP,itsmr,1
CP,lsmeans,1
CP,PK,1
CP,regexr,1
CP,stepp,1
CP,surveillance,1
CP,svUnit,1
CP,TSMining,1
cpa,profileR,1
cpa,SensoMineR,1
CpGassoc,DALY,1
CpGassoc,docopulae,1
CpGassoc,dynpred,1
CpGassoc,fossil,1
CpGassoc,gvcm.cat,1
CpGassoc,Mobilize,1
CpGassoc,ordBTL,1
CpGassoc,tiger,1
cpgen,gogarch,1
cplm,labstatR,1
cplm,laeken,1
cplm,mirt,1
cplm,mlr,1
cplm,phylotools,1
cplm,rebmix,1
cplm,reldist,1
cplm,RSurveillance,1
cplm,ShapeChange,1
cplm,spTDyn,1
cplm,spTimer,1
cplm,StatMeasures,1
cplm,survMisc,1
cplm,tcR,1
cplm,yuima,1
CPMCGLM,magic,1
CPMCGLM,multiplex,1
CPMCGLM,randtests,1
CPMCGLM,randtoolbox,1
crackR,GCPM,1
crackR,rivernet,1
crackR,simsem,1
crank,dse,1
crank,gtools,1
crank,igraph,1
crank,lordif,1
crank,metatest,1
crank,permute,1
crank,seriation,1
crayon,cycleRtools,1
crayon,DALY,1
crayon,dcmle,1
crayon,EMMIXskew,1
crayon,EngrExpt,1
crayon,geoknife,1
crayon,git2r,1
crayon,GoFKernel,1
crayon,gtools,1
crayon,HelpersMG,1
crayon,its,1
crayon,lmtest,1
crayon,operator.tools,1
crayon,orderbook,1
crayon,RCurl,1
crayon,relax,1
crayon,rEMM,1
crayon,ReporteRs,1
crayon,RobAStBase,1
crayon,R.utils,1
crayon,settings,1
crayon,SpaDES,1
crayon,splusTimeSeries,1
crayon,stats,1
crayon,swirl,1
crayon,timeSeries,1
crayon,xtermStyle,1
crch,geiger,1
crch,hbmem,1
crch,MCMCglmm,1
crch,rapport,1
crch,rapportools,1
creditr,ETAS,1
creditr,MareyMap,1
crimelinkage,dynaTree,1
crimelinkage,e1071,1
CRM,iRegression,1
CRM,marked,1
crossdes,randomizeBE,1
crossval,InformationValue,1
crossval,mdatools,1
crossval,mlr,1
crossval,pls,1
crossval,quadrupen,1
crossval,rioja,1
crossval,RobustEM,1
crossval,RSNNS,1
crp.CSFP,cycleRtools,1
crp.CSFP,Davies,1
crp.CSFP,ddR,1
crp.CSFP,DiscreteLaplace,1
crp.CSFP,discreteRV,1
crp.CSFP,DPw,1
crp.CSFP,EDISON,1
crp.CSFP,epiDisplay,1
crp.CSFP,flux,1
crp.CSFP,GaDiFPT,1
crp.CSFP,gap,1
crp.CSFP,GCPM,1
crp.CSFP,geo,1
crp.CSFP,git2r,1
crp.CSFP,GOplot,1
crp.CSFP,gvcm.cat,1
crp.CSFP,htmltools,1
crp.CSFP,hyperdirichlet,1
crp.CSFP,IPSUR,1
crp.CSFP,itsadug,1
crp.CSFP,kimisc,1
crp.CSFP,Kmisc,1
crp.CSFP,LambertW,1
crp.CSFP,lava,1
crp.CSFP,logbin,1
crp.CSFP,multicool,1
crp.CSFP,NMOF,1
crp.CSFP,ocomposition,1
crp.CSFP,packrat,1
crp.CSFP,pitchRx,1
crp.CSFP,plgp,1
crp.CSFP,plspm,1
crp.CSFP,psychometric,1
crp.CSFP,qtlDesign,1
crp.CSFP,qualvar,1
crp.CSFP,radir,1
crp.CSFP,rags2ridges,1
crp.CSFP,rapportools,1
crp.CSFP,raster,1
crp.CSFP,rebus,1
crp.CSFP,rio,1
crp.CSFP,RM2,1
crp.CSFP,sbioPN,1
crp.CSFP,scales,1
crp.CSFP,seqinr,1
crp.CSFP,shiny,1
crp.CSFP,simecol,1
crp.CSFP,soc.ca,1
crp.CSFP,sparr,1
crp.CSFP,vars,1
crp.CSFP,Zelig,1
crqa,lessR,1
crs,mgcv,1
crskdiag,wtcrsk,1
crunch,discretization,1
crunch,dplyr,1
crunch,dummy,1
crunch,elliptic,1
crunch,emil,1
crunch,EngrExpt,1
crunch,ffbase,1
crunch,fitbitScraper,1
crunch,FrF2,1
crunch,frt,1
crunch,gistr,1
crunch,grouped,1
crunch,gvcm.cat,1
crunch,jsonlite,1
crunch,lessR,1
crunch,lfda,1
crunch,LPM,1
crunch,miscFuncs,1
crunch,mosaic,1
crunch,oai,1
crunch,onion,1
crunch,phyext2,1
crunch,plyr,1
crunch,portfolio,1
crunch,qdapTools,1
crunch,quanteda,1
crunch,randomizeR,1
crunch,rapport,1
crunch,rcorpora,1
crunch,reports,1
crunch,rjson,1
crunch,RJSONIO,1
crunch,rnbn,1
crunch,RobAStBase,1
crunch,shinyjs,1
crunch,sjmisc,1
crunch,slam,1
crunch,taRifx,1
crunch,tfer,1
crunch,TiddlyWikiR,1
crunch,timeSeries,1
crunch,tis,1
crunch,verification,1
crunch,VGAM,1
crunch,Zelig,1
csampling,DynamicDistribution,1
csampling,EMMIXuskew,1
csampling,heavy,1
csampling,mboost,1
csampling,MVT,1
cSFM,pgam,1
cSFM,vacem,1
csrplus,qlcVisualize,1
csrplus,searchable,1
csrplus,stringr,1
csrplus,strucchange,1
csSAM,psychometric,1
cstar,multivator,1
csvread,mmap,1
cts,igraph,1
cts,lisp,1
cts,plfm,1
cts,rmngb,1
CTT,deal,1
CTT,EloChoice,1
CTT,events,1
CTT,lava,1
CTT,polycor,1
CTT,psych,1
CTT,QCAGUI,1
CTT,RcmdrMisc,1
CTT,rEMM,1
CTT,semTools,1
CTT,supclust,1
CTT,surveillance,1
CTT,umx,1
cubfits,sesem,1
cumSeg,modTempEff,1
curl,EngrExpt,1
curl,httr,1
curl,oce,1
currentSurvival,EngrExpt,1
currentSurvival,epiDisplay,1
currentSurvival,mice,1
currentSurvival,raster,1
curvetest,ecodist,1
curvetest,fingerprint,1
curvetest,FuzzyNumbers,1
curvetest,haplotypes,1
curvetest,jiebaR,1
curvetest,laGP,1
curvetest,LSAfun,1
curvetest,oce,1
curvetest,OpenRepGrid,1
curvetest,ops,1
curvetest,PerMallows,1
curvetest,plgp,1
curvetest,pracma,1
curvetest,raster,1
curvetest,SDMTools,1
curvetest,SpatialExtremes,1
curvetest,sphet,1
curvetest,swfscMisc,1
curvetest,TLBC,1
curvetest,widals,1
cusp,tigerstats,1
cutoffR,futile.matrix,1
cutoffR,locpol,1
cutoffR,PerFit,1
cutoffR,qtl,1
cutoffR,rapportools,1
