fn,pkg1,pkg2
describe,questionr,testthat
describe,questionr,Zelig
describe,Rlab,SciencesPo
describe,Rlab,synchronicity
describe,Rlab,testthat
describe,Rlab,Zelig
describe,SciencesPo,synchronicity
describe,SciencesPo,testthat
describe,SciencesPo,Zelig
describe,synchronicity,testthat
describe,testthat,Zelig
description,baseline,timeSeries
description,baseline,tis
descendants,ips,paramlink
descendants,ips,phylobase
descendants,ips,phyloclim
Descendants,nodiv,phangorn
descendants,paramlink,phylobase
descendants,paramlink,phyloclim
descendants,phylobase,phyloclim
des,compute.es,epiDisplay
desc,packHV,plyr
desc,packHV,TEQR
desc,plyr,TEQR
descr,descr,summarytools
describe,bigmemory,Bolstad2
describe,bigmemory,fields
describe,bigmemory,lambda.r
describe,bigmemory,prettyR
describe,bigmemory,psych
describe,bigmemory,questionr
describe,bigmemory,Rlab
describe,bigmemory,SciencesPo
describe,bigmemory.sri,Bolstad2
describe,bigmemory.sri,describer
describe,bigmemory.sri,fields
describe,bigmemory.sri,Hmisc
describe,bigmemory.sri,koRpus
describe,bigmemory.sri,lambda.r
describe,bigmemory.sri,prettyR
describe,bigmemory.sri,psych
describe,bigmemory.sri,questionr
distance,haplotypes,SDMTools
distance,haplotypes,SpatialExtremes
distance,haplotypes,sphet
distance,haplotypes,swfscMisc
distance,haplotypes,TLBC
distance,haplotypes,widals
distance,jiebaR,laGP
distance,jiebaR,LSAfun
distance,jiebaR,oce
distance,jiebaR,OpenRepGrid
distance,jiebaR,ops
distance,jiebaR,PerMallows
distance,jiebaR,plgp
distance,jiebaR,raster
distance,jiebaR,SDMTools
distance,jiebaR,SpatialExtremes
distance,jiebaR,sphet
distance,jiebaR,swfscMisc
distance,jiebaR,TLBC
distance,jiebaR,widals
distance,laGP,LSAfun
distance,laGP,oce
distance,laGP,OpenRepGrid
distance,laGP,ops
distance,laGP,PerMallows
distance,laGP,plgp
distance,laGP,raster
distance,laGP,SDMTools
distance,laGP,SpatialExtremes
distance,laGP,sphet
distance,brainwaver,FuzzyNumbers
distance,brainwaver,haplotypes
distance,brainwaver,jiebaR
distance,brainwaver,laGP
distance,brainwaver,LSAfun
distance,brainwaver,oce
distance,brainwaver,OpenRepGrid
distance,brainwaver,ops
distance,brainwaver,PerMallows
distance,brainwaver,plgp
distance,brainwaver,raster
distance,brainwaver,SDMTools
distance,brainwaver,SpatialExtremes
distance,brainwaver,sphet
distance,brainwaver,swfscMisc
distance,brainwaver,TLBC
distance,brainwaver,widals
distance,curvetest,ecodist
distance,curvetest,fingerprint
distance,curvetest,FuzzyNumbers
distance,curvetest,haplotypes
distance,curvetest,jiebaR
distance,curvetest,laGP
distance,curvetest,LSAfun
distance,curvetest,oce
distance,curvetest,OpenRepGrid
distance,curvetest,ops
distance,curvetest,PerMallows
distance,curvetest,plgp
distance,curvetest,raster
distance,laGP,swfscMisc
distance,laGP,TLBC
distance,laGP,widals
distance,LSAfun,oce
distance,LSAfun,OpenRepGrid
distance,LSAfun,ops
distance,LSAfun,PerMallows
distance,LSAfun,plgp
distance,LSAfun,raster
distance,LSAfun,SDMTools
distance,LSAfun,SpatialExtremes
distance,LSAfun,sphet
distance,LSAfun,swfscMisc
distance,LSAfun,TLBC
distance,LSAfun,widals
distance,oce,OpenRepGrid
distance,oce,ops
distance,oce,PerMallows
distance,oce,plgp
distance,oce,raster
distance,oce,SDMTools
distance,oce,SpatialExtremes
distance,oce,sphet
distance,oce,swfscMisc
distance,oce,TLBC
distance,oce,widals
distance,OpenRepGrid,ops
distance,OpenRepGrid,PerMallows
distance,OpenRepGrid,plgp
distance,OpenRepGrid,raster
dev.off,grDevices,gridSVG
dev.off.pdf,qrmtools,simsalapar
dev,softclassval,SpaDES
dew,ActuDistns,RND
dexpext,ActuDistns,VaRES
dexplog,VaRES,VGAM
dexppois,VaRES,VGAM
dexp,Rlab,stats
df2lambda,fda,mboost
df2matrix,qdapTools,R2MLwiN
dfrechet,ActuDistns,evd
dfrechet,ActuDistns,RTDE
dfrechet,ActuDistns,VaRES
dfrechet,ActuDistns,VGAM
dfrechet,evd,RTDE
dfrechet,evd,VaRES
dfrechet,evd,VGAM
dfrechet,RTDE,VaRES
dfrechet,RTDE,VGAM
dfrechet,VaRES,VGAM
dfs,igraph,robfilter
dfsort,ff,Xmisc
dGamma,ExtDist,VaRES
dgamma,Rlab,stats
dgenbeta,actuar,VaRES
dgenf,ACDm,flexsurv
dgengamma,ACDm,flexsurv
dgenpareto,actuar,VaRES
dgenpois,HMMpa,VGAM
dgev,evd,evir
description,baseline,Zelig
description,crunch,timeSeries
description,crunch,tis
description,crunch,Zelig
description,memisc,timeSeries
description,memisc,tis
description,memisc,Zelig
description,stream,timeSeries
description,stream,tis
description,stream,Zelig
description,timeSeries,tis
description,timeSeries,twitteR
description,timeSeries,validate
description,timeSeries,Zelig
description,tis,twitteR
description,tis,validate
description,tis,Zelig
description,twitteR,Zelig
description,validate,Zelig
descriptive,AdequacyModel,Rcapture
design,CpGassoc,docopulae
design,CpGassoc,gvcm.cat
design,CpGassoc,ordBTL
design,docopulae,gvcm.cat
design,docopulae,ordBTL
design,gvcm.cat,ordBTL
design.matrix,MAVTgsa,TANOVA
design.plot,ALTopt,dae
destination,GRANBase,SDMTools
destination,GRANBase,swfscMisc
dgev,evd,FAdist
dgev,evd,fExtremes
dgev,evd,SpatialExtremes
dgev,evd,texmex
dgev,evd,VaRES
dgev,evd,VGAM
dgev,evir,FAdist
dgev,evir,fExtremes
dgev,evir,SpatialExtremes
dgev,evir,texmex
dgev,evir,VaRES
dgev,evir,VGAM
dgev,FAdist,fExtremes
dgev,FAdist,SpatialExtremes
dgev,FAdist,texmex
dgev,FAdist,VaRES
dgev,FAdist,VGAM
dgev,fExtremes,SpatialExtremes
dgev,fExtremes,texmex
dgev,fExtremes,VaRES
dgev,fExtremes,VGAM
dgev,SpatialExtremes,texmex
dgev,SpatialExtremes,VaRES
dgev,SpatialExtremes,VGAM
dgev,texmex,VaRES
dgev,texmex,VGAM
dgev,VaRES,VGAM
dghyp,GeneralizedHyperbolic,ghyp
dghyp,GeneralizedHyperbolic,HyperbolicDist
dghyp,ghyp,HyperbolicDist
dist,corTools,RcmdrPlugin.KMggplot2
dist,corTools,scidb
dist,corTools,stats
distEuclidean,flexclust,shapes
distfacmap,adehabitat,adehabitatMA
distinct,dplyr,taRifx
distJaccard,flexclust,micropan
distManhattan,flexclust,micropan
dist,peplib,proxy
dist,peplib,RcmdrPlugin.KMggplot2
distplot,nullabor,rugarch
distplot,nullabor,vcd
distplot,rugarch,vcd
dist,proxy,RcmdrPlugin.KMggplot2
dist,proxy,scidb
dist,proxy,stats
dist,RcmdrPlugin.KMggplot2,scidb
dist,RcmdrPlugin.KMggplot2,stats
distribution,bde,distr
distribution,bde,rfishbase
distribution,changepoint,distr
distribution,changepoint,rfishbase
distribution,distr,EvalEst
distribution,distr,lava
distribution,distrMod,rfishbase
distribution,distr,rfishbase
distribution,EvalEst,rfishbase
dgumbel,gumbel,ordinal
dgumbel,gumbel,reliaR
dgumbel,gumbel,VaRES
dgumbel,gumbel,VGAM
dgumbel,ordinal,reliaR
dgumbel,ordinal,VaRES
dgumbel,ordinal,VGAM
dgumbel,reliaR,VaRES
dgumbel,reliaR,VGAM
dgumbel,VaRES,VGAM
dhalfcauchy,bayou,VaRES
dhalfnorm,fdrtool,VaRES
dht,dtt,mrds
dHuber,hoa,marg
d,hydroGOF,vegetarian
dhyperb,GeneralizedHyperbolic,HyperbolicDist
diabetes,bootstrap,faraway
diabetes,bootstrap,FWDselect
diabetes,bootstrap,lassoscore
diabetes,bootstrap,mplot
diabetes,bootstrap,rfoaas
diabetes,bootstrap,SVMMaj
diabetes,faraway,FWDselect
diabetes,faraway,lassoscore
diabetes,faraway,mplot
diabetes,faraway,rfoaas
diabetes,faraway,SVMMaj
diabetes,FWDselect,lassoscore
diabetes,FWDselect,mplot
diabetes,FWDselect,rfoaas
distribution,lava,rfishbase
distribution,rfishbase,ROptEstOld
dists,phyloTop,trajectories
divergence,nonlinearTseries,tawny
diversity,diverse,igraph
diversity,diverse,peptider
Diversity,entropart,RelValAnalysis
diversity,igraph,peptider
diversity,igraph,phangorn
diversity,igraph,qdap
diversity,igraph,seem
diversity,igraph,strataG
diversity,igraph,swfscMisc
diversity,igraph,tcR
diversity,igraph,vegan
diversity,peptider,phangorn
diversity,peptider,qdap
diversity,peptider,seem
diversity,peptider,strataG
diversity,peptider,swfscMisc
diversity,peptider,tcR
diversity,peptider,vegan
diversity,phangorn,qdap
diversity,phangorn,seem
diversity,phangorn,strataG
diversity,phangorn,swfscMisc
diversity,phangorn,tcR
diversity,phangorn,vegan
diversity,qdap,seem
diversity,qdap,strataG
dmaxwell,rotations,VGAM
dm,bio3d,orddom
Dmean,hoa,nlreg
DM,Ecdat,qualvar
dmi,BaBooN,mpmi
dmixnorm,bda,kyotil
dmm,depmix,dmm
dmm,depmix,PerMallows
dmm,dmm,PerMallows
dmnorm,LearnBayes,mmeln
dmnorm,LearnBayes,mnormt
dmnorm,mmeln,mnormt
dms,GEOmap,orddom
dmst,EMMIXuskew,sn
dmt,csampling,EMMIXuskew
dmt,csampling,LearnBayes
dmt,csampling,mnormt
dmt,EMMIXuskew,LearnBayes
dmt,EMMIXuskew,mnormt
dmt,LearnBayes,mnormt
dmultinomial,mc2d,VGAM
dmvn,EMCluster,lava
dmvn,EMCluster,mvnfast
dmvn,lava,mvnfast
dmvnorm,emdbook,mixtools
dmvnorm,emdbook,mvtnorm
dmvnorm,emdbook,pauwels2014
dmvnorm,emdbook,spatial.gev.bma
dmvnorm,mixtools,mvtnorm
dmvnorm,mixtools,pauwels2014
diabetes,FWDselect,SVMMaj
diabetes,lassoscore,mplot
diabetes,lassoscore,rfoaas
diabetes,lassoscore,SVMMaj
diabetes,mplot,rfoaas
diabetes,mplot,SVMMaj
diabetes,rfoaas,SVMMaj
Diag,gnm,metaSEM
Diag,gnm,pracma
Diag,metaSEM,pracma
diagnose,blockTools,inarmix
diagnose,blockTools,ppmlasso
diagnose,inarmix,ppmlasso
diagnostic,cosmosR,EngrExpt
diagnostic,cosmosR,ThresholdROC
diagnostic,EngrExpt,ThresholdROC
diagnosticPlot,biclust,robustHD
diagnostics,deSolve,drc
diagnostics,deSolve,gets
diagnostics,deSolve,HLMdiag
diagnostics,drc,gets
diagnostics,drc,HLMdiag
diagnostics,gets,HLMdiag
diag.off,gclus,magic
diagram,CHNOSZ,multiplex
diagram,CHNOSZ,psych
diagram,multiplex,psych
dialogSuffix,QCAGUI,Rcmdr
Dialyzer,MEMSS,nlme
diameter,EngrExpt,gclus
digits,TiddlyWikiR,xtable
digits,tpe,xtable
dilate,FIACH,mmand
dilation,spatstat,VPdtw
dimension,distrEllipse,phylotools
dimension,distrMod,phylotools
dimension,distr,phylotools
dimension,modeltools,phylotools
dimension,phylotools,RandVar
dimension,phylotools,R.oo
dimensions,RandomFields,scidb
dimensions,scidb,sp
Dim,NCmisc,nlme
Dim,NCmisc,RandVar
dinvgamma,actuar,ARTIVA
dinvgamma,actuar,EDISON
dinvgamma,actuar,MCMCpack
dinvgamma,actuar,phcfM
dinvgamma,actuar,VaRES
dinvgamma,ARTIVA,EDISON
dinvgamma,ARTIVA,MCMCpack
dinvgamma,ARTIVA,phcfM
dinvgamma,ARTIVA,VaRES
dinvgamma,EDISON,MCMCpack
dinvgamma,EDISON,phcfM
dinvgamma,EDISON,VaRES
dinvgamma,MCMCpack,phcfM
dinvgamma,MCMCpack,VaRES
dinvgamma,phcfM,VaRES
Dotplot,Hmisc,RcmdrMisc
dotPlot,mosaic,openintro
dotPlot,mosaic,RcmdrPlugin.NMBU
dotPlot,mosaic,seqinr
dotPlot,openintro,RcmdrPlugin.NMBU
dotPlot,openintro,seqinr
dotPlot,RcmdrPlugin.NMBU,seqinr
dot,pracma,rioja
dotprod,dst,onion
dotProd,Rpdb,SpatioTemporal
dots,BHH2,pryr
dots,BHH2,qmrparser
dots,BHH2,RcmdrPlugin.NMBU
dots,BHH2,TeachingDemos
dots,pryr,qmrparser
dots,pryr,RcmdrPlugin.NMBU
dots,pryr,TeachingDemos
dots,qmrparser,RcmdrPlugin.NMBU
dots,qmrparser,TeachingDemos
dots,RcmdrPlugin.NMBU,TeachingDemos
downer,alr3,prLogistic
down,fts,FunCluster
down,fts,OpenRepGrid
down,FunCluster,OpenRepGrid
download,BerlinData,downloader
download,BerlinData,ecoretriever
download,downloader,ecoretriever
download,downloader,geoknife
download,ecoretriever,geoknife
downsample,mlr,tuneR
dinvgauss,ActuDistns,cwhmisc
dinvgauss,ActuDistns,STAR
dinvgauss,ActuDistns,statmod
dinvgauss,cwhmisc,STAR
dinvgauss,cwhmisc,statmod
dinvgauss,STAR,statmod
dip,diptest,hydroTSM
direct,nloptr,sae
direct,nloptr,simba
direct,sae,simba
direct.sum,conf.design,matrixcalc
dir.exists,base,logcondens.mode
dir.exists,base,Xmisc
dir.exists,logcondens.mode,Xmisc
dirichlet,hyperdirichlet,NBDdirichlet
dirichlet,hyperdirichlet,spatstat
dirichlet,hyperdirichlet,VGAM
dirichlet,NBDdirichlet,spatstat
dirichlet,NBDdirichlet,VGAM
dirichlet,spatstat,VGAM
disabled,shinyjs,tcltk2
disable,MTurkR,packrat
disable,MTurkR,shinyjs
disable,packrat,shinyjs
dis,bios2mds,shapes
disc,ade4,EvCombR
disc,ade4,spatstat
discard,purrr,scales
discard,purrr,statar
discard,scales,statar
dmvnorm,mixtools,spatial.gev.bma
dmvnorm,mvtnorm,pauwels2014
dmvnorm,mvtnorm,spatial.gev.bma
dmvnorm,pauwels2014,spatial.gev.bma
dnb,degreenet,ltsk
dn,elliptic,lessR
dnig,fBasics,GeneralizedHyperbolic
dnl,cccp,NormalLaplace
dns,JM,JMbayes
Do,data.tree,mosaic
do,dplyr,MBI
do,dplyr,mosaic
dof,aylmer,wavethresh
doGRASS,rgrass7,spgrass6
dogs,boot,sm
doItAndPrint,QCAGUI,Rcmdr
doldlogspline,logspline,polspline
domain,adehabitat,adehabitatHS
domain,adehabitat,analogsea
domain,adehabitat,dismo
domain,adehabitat,futile.matrix
domain,adehabitatHS,analogsea
domain,adehabitatHS,dismo
domain,adehabitatHS,futile.matrix
domain,adehabitatHS,SciencesPo
domain,adehabitatHS,spatstat
domain,adehabitatHS,urltools
domain,adehabitatHS,vardpoor
domain,adehabitat,SciencesPo
domain,adehabitat,spatstat
Dist,amap,coxsei
distance,analogue,arfima
distance,analogue,argosfilter
distance,analogue,berryFunctions
distance,analogue,brainwaver
distance,analogue,curvetest
distance,analogue,ecodist
distance,analogue,jiebaR
distance,analogue,laGP
distance,analogue,LSAfun
distance,analogue,oce
distance,analogue,OpenRepGrid
distance,analogue,ops
distance,analogue,PerMallows
distance,analogue,plgp
distance,analogue,SDMTools
distance,analogue,SpatialExtremes
distance,analogue,sphet
distance,analogue,swfscMisc
distance,analogue,TLBC
distance,analogue,widals
distance,arfima,argosfilter
distance,arfima,berryFunctions
distance,arfima,brainwaver
distance,arfima,curvetest
distance,arfima,ecodist
distance,arfima,fingerprint
distance,arfima,FuzzyNumbers
distance,arfima,haplotypes
distance,arfima,jiebaR
draw,pathdiagram,simFrame
draw,pathdiagram,simsem
draw,pathdiagram,someMTP
draw,pathdiagram,VLMC
draw,pathdiagram,wavethresh
draw,R.utils,simsem
draw,R.utils,someMTP
draw,simFrame,simsem
draw,simFrame,someMTP
draw,simsem,someMTP
draw,simsem,VLMC
draw,simsem,wavethresh
draw,someMTP,VLMC
draw,someMTP,wavethresh
dr,dr,popdemo
drexp,STAR,unmarked
drm,drc,drm
dropout,dropR,surveydata
Drosophila,PASWR,PBImisc
drs,aods3,frailtySurv
drug,daewr,dlnm
dschabe,ActuDistns,VaRES
ds,deseasonalize,elliptic
ds,Distance,elliptic
DS,DSviaDRM,EloRating
dsigmoid,e1071,tsDyn
dskellam,skellam,VGAM
dskewlap,GeneralizedHyperbolic,HyperbolicDist
dsl,metRology,sld
downsample,trajectories,tuneR
downstream,gvc,taxize
dpareto2,actuar,agop
dpareto2,actuar,CaDENCE
dpareto2,agop,CaDENCE
dpareto,actuar,ActuDistns
dpareto,actuar,EnvStats
dpareto,actuar,extremevalues
dpareto,actuar,PtProcess
dpareto,actuar,sads
dpareto,actuar,VaRES
dpareto,actuar,VGAM
dpareto,ActuDistns,EnvStats
dpareto,ActuDistns,extremevalues
dpareto,ActuDistns,PtProcess
dpareto,ActuDistns,sads
dpareto,ActuDistns,VaRES
dpareto,ActuDistns,VGAM
dpareto,EnvStats,extremevalues
dpareto,EnvStats,PtProcess
dpareto,EnvStats,sads
dpareto,EnvStats,VaRES
dpareto,EnvStats,VGAM
dpareto,extremevalues,PtProcess
dpareto,extremevalues,sads
dpareto,extremevalues,VaRES
dpareto,extremevalues,VGAM
dpareto,PtProcess,sads
dpareto,PtProcess,VaRES
dpareto,PtProcess,VGAM
distance,arfima,laGP
distance,arfima,LSAfun
distance,arfima,oce
distance,arfima,OpenRepGrid
distance,arfima,ops
distance,arfima,PerMallows
distance,arfima,plgp
distance,arfima,raster
distance,arfima,SDMTools
distance,arfima,SpatialExtremes
distance,arfima,sphet
distance,arfima,swfscMisc
distance,arfima,TLBC
distance,arfima,widals
distance,argosfilter,berryFunctions
distance,argosfilter,brainwaver
distance,argosfilter,curvetest
distance,argosfilter,ecodist
distance,argosfilter,fingerprint
distance,argosfilter,FuzzyNumbers
distance,argosfilter,haplotypes
distance,argosfilter,jiebaR
distance,argosfilter,laGP
distance,argosfilter,LSAfun
distance,argosfilter,oce
distance,argosfilter,OpenRepGrid
distance,argosfilter,ops
distance,argosfilter,PerMallows
distance,argosfilter,plgp
distance,argosfilter,raster
distance,curvetest,SDMTools
distance,curvetest,SpatialExtremes
distance,curvetest,sphet
distance,curvetest,swfscMisc
distance,curvetest,TLBC
distance,curvetest,widals
distance,ecodist,fingerprint
distance,ecodist,FuzzyNumbers
distance,ecodist,haplotypes
distance,ecodist,jiebaR
distance,ecodist,laGP
distance,ecodist,LSAfun
distance,ecodist,oce
distance,ecodist,OpenRepGrid
distance,ecodist,ops
distance,ecodist,PerMallows
distance,ecodist,plgp
distance,ecodist,raster
distance,ecodist,SDMTools
distance,ecodist,SpatialExtremes
distance,ecodist,sphet
distance,ecodist,swfscMisc
distance,ecodist,TLBC
distance,ecodist,widals
distance,fingerprint,jiebaR
distance,fingerprint,laGP
distance,fingerprint,LSAfun
distance,fingerprint,oce
distance,fingerprint,OpenRepGrid
distance,fingerprint,ops
distance,fingerprint,PerMallows
distance,fingerprint,plgp
distance,fingerprint,SDMTools
distance,fingerprint,SpatialExtremes
distance,fingerprint,sphet
distance,fingerprint,swfscMisc
distance,fingerprint,TLBC
distance,fingerprint,widals
distance,FuzzyNumbers,jiebaR
distance,FuzzyNumbers,laGP
distance,FuzzyNumbers,LSAfun
distance,FuzzyNumbers,oce
distance,FuzzyNumbers,OpenRepGrid
distance,FuzzyNumbers,ops
distance,FuzzyNumbers,PerMallows
distance,FuzzyNumbers,plgp
distance,FuzzyNumbers,SDMTools
distance,FuzzyNumbers,SpatialExtremes
distance,FuzzyNumbers,sphet
distance,FuzzyNumbers,swfscMisc
distance,FuzzyNumbers,TLBC
distance,FuzzyNumbers,widals
distance,haplotypes,jiebaR
distance,haplotypes,laGP
distance,haplotypes,LSAfun
distance,haplotypes,oce
distance,haplotypes,OpenRepGrid
distance,haplotypes,ops
distance,haplotypes,PerMallows
distance,haplotypes,plgp
dsm,cwhmisc,dsm
dst,dtt,lubridate
dst,dtt,mederrRank
dst,dtt,NORMT3
dst,dtt,sn
dst,dtt,solaR
dst,lubridate,mederrRank
dst,lubridate,NORMT3
dst,lubridate,sn
dst,lubridate,solaR
dst,mederrRank,NORMT3
dst,mederrRank,sn
dst,mederrRank,solaR
dst,NORMT3,sn
dst,NORMT3,solaR
dst,sn,solaR
dtm,smam,TDA
dtnorm,crch,msm
d_to_g,MAc,MAd
dtriangle,triangle,VGAM
dtriangular,circular,VaRES
dTriangular,ExtDist,logcondiscr
dtri,CircStats,EnvStats
dtri,CircStats,metRology
dtri,CircStats,Rlab
dtri,EnvStats,metRology
dtri,EnvStats,Rlab
dtri,metRology,Rlab
dtr,mgpd,smam
dtrunc,sads,truncdist
distance,OpenRepGrid,SDMTools
distance,OpenRepGrid,SpatialExtremes
distance,OpenRepGrid,sphet
distance,OpenRepGrid,swfscMisc
distance,OpenRepGrid,TLBC
distance,OpenRepGrid,widals
distance,ops,PerMallows
distance,ops,plgp
distance,ops,raster
distance,ops,SDMTools
distance,ops,SpatialExtremes
distance,ops,sphet
distance,ops,swfscMisc
distance,ops,TLBC
distance,ops,widals
distance,PerMallows,plgp
distance,PerMallows,raster
distance,PerMallows,SDMTools
distance,PerMallows,SpatialExtremes
distance,PerMallows,sphet
distance,PerMallows,swfscMisc
distance,PerMallows,TLBC
distance,PerMallows,widals
distance,plgp,raster
distance,plgp,SDMTools
distance,plgp,SpatialExtremes
distance,plgp,sphet
distance,plgp,swfscMisc
distance,plgp,TLBC
distance,plgp,widals
distance,raster,SDMTools
distance,raster,SpatialExtremes
distance,raster,sphet
distance,raster,swfscMisc
distance,raster,TLBC
distance,raster,widals
distances,aspace,igraph
distances,aspace,Rpdb
distance,SDMTools,SpatialExtremes
distance,SDMTools,sphet
distance,SDMTools,swfscMisc
distance,SDMTools,TLBC
distance,SDMTools,widals
distances,igraph,Rpdb
distance,SpatialExtremes,sphet
distance,SpatialExtremes,swfscMisc
distance,SpatialExtremes,TLBC
distance,SpatialExtremes,widals
distance,sphet,swfscMisc
distance,sphet,TLBC
distance,sphet,widals
distance,swfscMisc,TLBC
distance,swfscMisc,widals
distance,TLBC,widals
dist_chisq,sjPlot,svs
dist,compositions,corTools
dist,compositions,proxy
dist,compositions,RcmdrPlugin.KMggplot2
dist,corTools,peplib
dist,corTools,proxy
dvips,Hmisc,R.rsp
dw,alphahull,Rwave
dweeks,lubridate,SpaDES
dWeibull,ExtDist,VaRES
dweibull,Rlab,stats
dwish,MCMCpack,phcfM
dwt,car,wavelets
dwt,car,waveslim
dwt,wavelets,waveslim
dxie,ActuDistns,VaRES
dx,LogisticDx,SEAsic
dx,SEAsic,survMisc
dyad.census,igraph,sna
dyadic,Blaunet,mcsm
dyears,lubridate,SpaDES
DYM,DYM,rebus
dyule,ape,degreenet
dzipf,sads,VGAM
ead,picante,scuba
eapEst,catIrt,catR
Earthquake,MEMSS,nlme
easter,forecast,seasonal
easter,forecast,tis
easter,seasonal,tis
eba,eba,ExtremeBounds
ebayesthresh.wavelet.wd,binhf,EbayesThresh
EBelasticNet.BinomialCV,EBEN,EBglmnet
EBelasticNet.Binomial,EBEN,EBglmnet
EBelasticNet.GaussianCV,EBEN,EBglmnet
EBelasticNet.Gaussian,EBEN,EBglmnet
ebeta,EnvStats,expectreg
EC,crp.CSFP,GOplot
ecdfPlot,EnvStats,RcmdrPlugin.seeg
EC,GCPM,GOplot
echelon,editrules,GPArotation
ecm,aTSA,ebGenotyping
ECM,ebGenotyping,frbs
eco,eco,ecoreg
eco,eco,faraway
eco,ecoreg,faraway
eda,bda,PASWR2
EDA,BSDA,PASWR
edaPlot,openintro,RcmdrPlugin.seeg
ED,DoseFinding,drc
edf,gamlss,texmex
edf,gamlss,truncgof
edf,texmex,truncgof
edgelabels,ape,lava
edge.list,CIDnetworks,rgexf
edges,adimpro,ape
edges,adimpro,igraph
edges,adimpro,phylobase
edges,adimpro,siplab
edges,adimpro,spatstat
edges,ape,igraph
edges,ape,phylobase
edges,ape,siplab
edges,ape,spatstat
edges,igraph,phylobase
diversity,qdap,swfscMisc
diversity,qdap,tcR
diversity,qdap,vegan
diversity,seem,strataG
diversity,seem,swfscMisc
diversity,seem,tcR
diversity,seem,vegan
diversity,strataG,swfscMisc
diversity,strataG,tcR
diversity,strataG,vegan
diversity,swfscMisc,tcR
diversity,swfscMisc,vegan
diversity,tcR,vegan
div,htmltools,numbers
div,numbers,shiny
divorce,SDaA,UsingR
diwish,MCMCpack,phcfM
dixon,dixon,spatialsegregation
dja,aod,aods3
dkde,kedd,ks
dkernel,klaR,KMDA
dkernel,klaR,spatstat
dkernel,KMDA,spatstat
DK.test,homtest,nsRFA
dkum,ActuDistns,VaRES
dlaplace,deamer,VaRES
dlaplace,deamer,VGAM
dlaplace,VaRES,VGAM
dlapply,ddR,multitable
elev,astroFns,nasaweather
elevation,geoR,oce
ellip,MSQC,signal
ellipse,astro,car
ellipse,astro,CAvariants
ellipse,astro,dga
ellipse,astro,ellipse
ellipse,astro,fifer
ellipse,astro,mixtools
ellipse,astro,nicheROVER
ellipse,astro,RConics
ellipse,astro,Rmixmod
ellipse,astro,spatstat
ellipse,astro,VennDiagram
ellipse,car,CAvariants
ellipse,car,dga
ellipse,car,ellipse
ellipse,car,fifer
ellipse,car,mixtools
ellipse,car,nicheROVER
ellipse,car,RConics
ellipse,car,Rmixmod
ellipse,car,spatstat
ellipse,car,VennDiagram
ellipse,CAvariants,dga
ellipse,CAvariants,ellipse
ellipse,CAvariants,fifer
ellipse,CAvariants,mixtools
ellipse,CAvariants,nicheROVER
ellipse,CAvariants,RConics
eisera,adehabitat,adehabitatHS
E,labstatR,RandVar
E,labstatR,ROptEstOld
E,labstatR,ROptRegTS
E,labstatR,rv
elapsedtime,meboot,mtsdi
elapsedtime,meboot,pgam
elapsedtime,mtsdi,pgam
elas,IPMpack,micEcon
elas,IPMpack,popdemo
elas,micEcon,popdemo
election,LearnBayes,plotrix
element,e1071,genpathmox
elements,bio3d,dae
elements,bio3d,rfordummies
elements,bio3d,TiddlyWikiR
elements,bio3d,UpSetR
elements,dae,rfordummies
elements,dae,Rpdb
elements,dae,TiddlyWikiR
elements,dae,UpSetR
elements,rfordummies,Rpdb
elements,rfordummies,TiddlyWikiR
elements,rfordummies,UpSetR
elements,Rpdb,TiddlyWikiR
elements,Rpdb,UpSetR
elements,TiddlyWikiR,UpSetR
elev,actuar,astroFns
elev,actuar,nasaweather
domain,adehabitat,urltools
domain,adehabitat,vardpoor
domain,analogsea,dismo
domain,analogsea,futile.matrix
domain,analogsea,SciencesPo
domain,analogsea,spatstat
domain,analogsea,urltools
domain,analogsea,vardpoor
domain,dismo,futile.matrix
domain,dismo,SciencesPo
domain,dismo,urltools
domain,dismo,vardpoor
domain,futile.matrix,SciencesPo
domain,futile.matrix,spatstat
domain,futile.matrix,urltools
domain,futile.matrix,vardpoor
domain,SciencesPo,spatstat
domain,SciencesPo,urltools
domain,SciencesPo,vardpoor
Domains,Frames2,TeachingSampling
domain,spatstat,urltools
domain,spatstat,vardpoor
domain,urltools,vardpoor
do,MBI,mosaic
dominant,paramlink,SNPassoc
dom,locpol,solaR
done,broman,FastRWeb
done,broman,rtf
em,htmltools,ifultools
em,htmltools,mclust
em,htmltools,nlsem
em,ifultools,mclust
em,ifultools,nlsem
em,ifultools,shiny
em,mclust,nlsem
em,mclust,shiny
em,nlsem,shiny
empty,bipartite,cmrutils
empty,bipartite,hyperSpec
empty,bipartite,intervals
empty,bipartite,modeltools
empty,bipartite,plyr
empty,bipartite,qmrparser
empty,bipartite,rPref
empty,bipartite,rstackdeque
empty,cmrutils,hyperSpec
empty,cmrutils,intervals
empty,cmrutils,modeltools
empty,cmrutils,plyr
empty,cmrutils,qmrparser
empty,cmrutils,rPref
empty,cmrutils,rstackdeque
empty,hyperSpec,intervals
empty,hyperSpec,modeltools
empty,hyperSpec,plyr
empty,hyperSpec,qmrparser
empty,hyperSpec,rPref
draw,dynamicGraph,EnviroStat
draw,dynamicGraph,lcd
draw,dynamicGraph,pathdiagram
draw,dynamicGraph,simsem
draw,dynamicGraph,someMTP
draw,EnviroStat,lcd
